calories,distance,duration,start_time,end_time,steps,avg_pace,data_training,temp,pressure
524,7076,2411,09:05:08,09:45:20,5682,0.34,2023-04-16,8.5,1016.7
566,7113,2432,18:21:54,19:02:27,5829,0.34,2023-04-16,13.24,1018.35
510,7001,3648,16:10:51,16:52:05,5476,0.52,2023-04-17,13.9,1022.2
286,4033,1299,08:48:44,09:11:26,3224,0.32,2023-04-19,7.24,1017.2
500,6915,2294,17:27:49,18:06:35,5809,0.33,2023-04-19,12.18,1017.34
526,7159,2339,08:39:34,09:18:34,5937,0.33,2023-04-20,11.93,1020.1
496,6504,2172,18:03:26,18:44:30,5482,0.33,2023-04-20,18.2,1019.1
521,7139,2321,08:34:02,09:13:08,5980,0.33,2023-04-21,11.82,1020.17
533,7148,2375,08:15:14,08:54:52,5991,0.33,2023-04-22,11.8,1016.1
560,7097,2252,08:06:56,08:44:36,5636,0.32,2023-04-23,12.7,1013.1
267,3628,1204,15:15:38,15:38:03,3053,0.33,2023-04-23,21.9,1010.2
487,6332,2239,08:27:52,09:05:11,5652,0.35,2023-04-24,14.73,1006.19
511,7186,2308,20:21:06,20:59:33,6119,0.32,2023-04-24,16.6,1002.6
542,7146,2386,08:03:38,08:43:24,6344,0.33,2023-04-26,6.0,1010.1
538,7169,2372,19:17:24,19:57:31,6085,0.33,2023-04-26,4.8,1013.3
423,7181,2678,20:41:11,21:25:50,6847,0.37,2023-04-27,6.16,1019.86
523,6900,2446,15:37:12,16:22:48,6374,0.35,2023-04-30,14.17,1018.92
402,4828,1754,19:55:00,20:24:14,4567,0.36,2023-04-30,10.94,1019.63
577,7200,3549,13:50:06,14:52:16,7148,0.49,2023-05-03,14.5,1026.1
582,7159,2427,11:57:59,12:38:51,6155,0.34,2023-05-09,15.87,1028.0
515,7168,2367,20:29:30,21:09:00,6248,0.33,2023-05-11,15.26,1021.12
528,7158,2252,11:04:33,11:42:05,5965,0.31,2023-05-13,20.8,1024.2
521,7141,2196,09:38:54,10:15:30,5912,0.31,2023-05-14,18.54,1022.06
516,7148,2172,18:31:19,19:07:30,5775,0.3,2023-05-14,21.32,1016.83
516,7130,2182,15:38:30,16:14:56,5854,0.31,2023-05-15,13.05,1007.73
266,3824,1222,20:20:50,20:41:12,3171,0.32,2023-05-15,14.0,1007.1
516,7133,2134,21:15:55,21:51:29,5666,0.3,2023-05-16,15.7,1014.1
320,4435,1423,08:23:44,08:47:27,3795,0.32,2023-05-17,12.4,1014.7
494,7164,2129,19:53:16,20:28:45,5618,0.3,2023-05-17,11.58,1019.93
495,7162,2164,08:26:54,09:02:58,5892,0.3,2023-05-20,15.57,1027.09
674,10023,2951,19:25:25,20:14:36,8101,0.29,2023-05-21,20.83,1021.1
669,9031,3032,10:09:32,11:00:44,7907,0.34,2023-05-22,20.9,1020.0
681,10016,2994,20:46:19,21:36:14,8330,0.3,2023-05-22,17.97,1017.07
222,3255,1026,21:00:18,21:17:24,2779,0.32,2023-05-23,20.0,1012.0
672,10021,2898,19:35:34,20:23:52,8213,0.29,2023-05-24,18.76,1017.05
576,8407,2740,20:18:44,21:12:39,7144,0.33,2023-05-25,19.95,1019.29
706,9939,3507,08:43:59,09:46:30,9183,0.35,2023-05-28,14.73,1023.13
715,10024,3038,20:09:46,21:03:04,8489,0.3,2023-05-28,17.68,1019.1
730,10014,3425,11:29:15,12:26:20,8932,0.34,2023-05-29,20.72,1019.1
691,10022,2973,19:20:52,20:10:33,7719,0.3,2023-05-31,20.96,1018.97
672,10014,3000,20:41:05,21:31:22,7950,0.3,2023-06-01,20.88,1010.66
760,10222,3162,20:59:59,21:56:25,8218,0.31,2023-06-04,16.8,1022.1
683,10017,2964,13:10:54,14:00:18,7674,0.3,2023-06-06,25.5,1019.1
693,10019,2839,20:30:44,21:18:02,7463,0.28,2023-06-07,21.92,1017.04
692,10022,2881,20:07:56,20:55:58,7553,0.29,2023-06-08,23.4,1015.2
810,10014,3678,20:49:06,21:50:25,8446,0.37,2023-06-18,17.6,1015.06
808,10011,3519,12:09:35,13:08:14,8355,0.35,2023-06-20,27.18,1016.99
671,8809,2763,17:06:25,17:58:00,6874,0.31,2023-06-21,26.3,1016.0
799,10006,2979,19:33:34,20:23:13,6968,0.3,2023-06-22,26.03,1016.95
738,10016,2913,18:02:23,18:50:57,7517,0.29,2023-06-25,24.8,1015.9
718,10020,3020,19:28:08,20:18:28,7699,0.3,2023-06-26,26.41,1010.8
705,10014,2949,18:03:15,18:52:24,7655,0.29,2023-06-28,17.3,1011.1
801,10011,2974,18:56:43,19:46:17,6968,0.3,2023-07-01,22.26,1004.22
805,10012,3154,20:42:41,21:35:16,6968,0.32,2023-07-02,21.0,1006.13
800,10012,2837,20:20:44,21:08:02,6968,0.28,2023-07-04,24.21,1012.27
295,3938,1231,15:26:43,16:00:52,6968,0.31,2023-07-06,23.1,1017.0
800,10016,2863,20:45:17,21:33:01,6968,0.29,2023-07-08,24.58,1018.97
505,6663,2174,21:02:05,21:43:43,5526,0.33,2023-07-13,18.3,1014.1
696,10015,2924,20:57:24,21:46:08,7783,0.29,2023-07-16,26.96,1014.85
671,10014,2864,21:16:43,22:04:39,7746,0.29,2023-07-17,19.3,1014.22
330,4034,2557,19:02:31,19:50:06,5337,0.63,2023-07-22,22.0,1012.2
727,10020,3166,20:09:58,21:02:45,8302,0.32,2023-07-29,23.94,1006.88
712,10013,3066,20:30:04,21:21:10,8063,0.31,2023-07-30,21.97,1009.04
737,10014,2896,20:22:39,21:10:55,7463,0.29,2023-08-01,19.85,1001.05
678,10010,2807,18:10:23,18:57:10,7301,0.28,2023-08-03,22.0,1004.0
597,8406,2589,19:16:47,19:59:56,6608,0.31,2023-08-06,23.2,996.2
682,10019,2743,20:24:11,21:09:54,7276,0.27,2023-08-08,16.98,1012.31
723,10030,2932,19:34:54,20:23:47,7639,0.29,2023-08-10,19.71,1020.84
725,10024,2760,20:06:08,20:52:08,7452,0.28,2023-08-13,24.8,1017.2
707,9764,2766,19:42:17,20:28:24,7358,0.28,2023-08-15,29.62,1017.96
719,10026,2773,19:20:12,20:06:26,7358,0.28,2023-08-16,29.98,1018.01
535,7191,2106,20:00:46,20:36:22,5540,0.29,2023-08-20,26.6,1018.1
772,10014,2851,19:26:39,20:14:24,7542,0.28,2023-08-23,23.31,1017.37
796,10001,2685,19:23:20,20:08:05,6968,0.27,2023-08-24,23.06,1015.2
799,10029,2762,19:33:24,20:19:26,6968,0.28,2023-08-27,24.51,1006.2
796,10022,2883,19:12:38,20:00:42,6968,0.29,2023-08-29,22.39,1004.9
727,10020,2816,19:38:01,20:24:57,7573,0.28,2023-09-03,18.29,1023.11
716,10008,2760,19:16:39,20:02:39,7473,0.28,2023-09-05,20.08,1024.11
719,10008,2801,18:51:50,19:39:17,7421,0.28,2023-09-06,22.34,1024.0
566,8479,2563,18:08:25,18:52:11,6652,0.3,2023-09-08,25.6,1021.9
723,10026,2898,17:29:31,18:17:50,7599,0.29,2023-09-12,27.97,1012.94
671,10008,2778,18:09:35,18:56:00,7365,0.28,2023-09-13,27.3,1010.5
719,10006,2874,18:16:32,19:04:27,7661,0.29,2023-09-17,23.92,1018.1
661,8377,2840,17:48:45,18:36:07,6968,0.34,2023-09-21,25.06,1008.92
678,10022,2791,18:40:33,19:27:04,7307,0.28,2023-09-24,17.35,1026.41
653,10005,2757,17:30:49,18:16:47,7147,0.28,2023-09-26,21.96,1025.1
694,10028,2815,17:19:22,18:06:17,7432,0.28,2023-09-28,24.68,1020.91
535,7503,2238,17:22:08,17:59:26,5824,0.3,2023-10-03,25.0,1010.6
