Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс)
00:00:00.000+01:00,00:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
00:15:00.000+01:00,00:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
00:30:00.000+01:00,00:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
00:45:00.000+01:00,01:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
01:00:00.000+01:00,01:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
01:15:00.000+01:00,01:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
01:30:00.000+01:00,01:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
01:45:00.000+01:00,02:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
02:00:00.000+01:00,02:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
02:15:00.000+01:00,02:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
02:30:00.000+01:00,02:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
02:45:00.000+01:00,03:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
03:00:00.000+01:00,03:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
03:15:00.000+01:00,03:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
03:30:00.000+01:00,03:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
03:45:00.000+01:00,04:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
04:00:00.000+01:00,04:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
04:15:00.000+01:00,04:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
04:30:00.000+01:00,04:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
04:45:00.000+01:00,05:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
05:00:00.000+01:00,05:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
05:15:00.000+01:00,05:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
05:30:00.000+01:00,05:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
05:45:00.000+01:00,06:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
06:00:00.000+01:00,06:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
06:15:00.000+01:00,06:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
06:30:00.000+01:00,06:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
06:45:00.000+01:00,07:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
07:00:00.000+01:00,07:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
07:15:00.000+01:00,07:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
07:30:00.000+01:00,07:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
07:45:00.000+01:00,08:00:00.000+01:00,,16.49218712747097,,,,,,,,,,3,,,,,
08:00:00.000+01:00,08:15:00.000+01:00,,16.492187127470967,,,,,,,,,,8,,,,,
08:15:00.000+01:00,08:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
08:30:00.000+01:00,08:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
08:45:00.000+01:00,09:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
09:00:00.000+01:00,09:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
09:15:00.000+01:00,09:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
09:30:00.000+01:00,09:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
09:45:00.000+01:00,10:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
10:00:00.000+01:00,10:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
10:15:00.000+01:00,10:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
10:30:00.000+01:00,10:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
10:45:00.000+01:00,11:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
11:00:00.000+01:00,11:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
11:15:00.000+01:00,11:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
11:30:00.000+01:00,11:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
11:45:00.000+01:00,12:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
12:00:00.000+01:00,12:15:00.000+01:00,6,29.649336247029964,431.0611975244675,3.0,3,,,,1.2551106679060908,1.9359025809786092,0.34112389327639675,555,,,,246144,
12:15:00.000+01:00,12:30:00.000+01:00,8,58.16798541894287,650.6549563510971,5.0,5,,,,0.8726203870489655,1.7880813655236871,0.3411238690817058,847,,,,779670,
12:30:00.000+01:00,12:45:00.000+01:00,4,44.361684562031996,207.91834471211183,,,,,,0.4653179121506819,1.2803115750446337,0.2501575156369456,325,,,,521382,
12:45:00.000+01:00,13:00:00.000+01:00,5,33.07431376550805,329.7464246769741,2.0,2,,,,1.0384643717679887,1.7550711715873633,0.36820760028214394,453,,,,309072,
13:00:00.000+01:00,13:15:00.000+01:00,,16.49218712747097,18.42068978781145,,,,,,0.30701149646352416,0.30701149646352416,0.30701149646352416,27,,,,,
13:15:00.000+01:00,13:30:00.000+01:00,4,32.885495489850825,185.06998126017618,1.0,1,,,,0.8527982407474248,1.4900460808893616,0.2790379391549639,286,,,,306686,
13:30:00.000+01:00,13:45:00.000+01:00,4,21.74336871500917,123.48684635532862,,,,,,0.3263809982790413,0.3411238784907518,0.31163812399670604,181,,,,98239,
13:45:00.000+01:00,14:00:00.000+01:00,3,24.36008109605449,253.73638900595554,2.0,2,,,,1.315163689175042,1.6255644429521972,0.34112389839450485,326,,,,145984,
14:00:00.000+01:00,14:15:00.000+01:00,8,51.94821265218081,448.0112616356623,1.0,1,,,,0.6896971159552898,2.279437320785766,0.24811780777618464,637,,,,368150,126244
