Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Ходьба (мс),Продолжительность: Прочее (мс)
00:00:00.000+02:00,00:15:00.000+02:00,,16.49218712747097,,,,74.0,76.0,68.0,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,16.49218712747097,,,,66.25,74.0,62.0,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,16.49218712747097,,,,62.7,67.0,55.0,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,16.49218712747097,,,,55.0,55.0,55.0,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,16.49218712747097,,,,56.0,56.0,56.0,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,16.49218712747097,,,,62.5,70.0,55.0,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,16.49218712747097,,,,51.833333333333336,55.0,50.0,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,16.49218712747097,,,,54.0,55.0,53.0,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,16.49218712747097,,,,58.0,58.0,58.0,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,16.49218712747097,,,,59.0,59.0,59.0,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,16.49218712747097,,,,75.5,76.0,75.0,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,16.49218712747097,,,,74.5,75.0,74.0,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,16.49218712747097,,,,59.75,74.0,49.0,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,16.49218712747097,,,,59.0,66.0,52.0,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,16.49218712747097,,,,76.66666666666667,94.0,57.0,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,16.49218712747097,,,,54.1,55.0,52.0,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,16.49218712747097,,,,50.0,50.0,50.0,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,16.49218712747097,,,,50.5,51.0,50.0,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,16.49218712747097,,,,52.0,52.0,52.0,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,16.49218712747097,,,,62.0,72.0,52.0,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,16.49218712747097,,,,48.9,50.0,48.0,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,16.49218712747097,,,,64.0,64.0,64.0,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,26.113749701976772,,,,81.0,81.0,81.0,,,,,,,,180000,
06:15:00.000+02:00,06:30:00.000+02:00,,29.320937226812042,26.8,,,81.625,93.0,76.0,,,,40,,,,240000,
06:30:00.000+02:00,06:45:00.000+02:00,,16.49218712747097,40.199999999999996,,,82.20833333333333,89.0,76.0,0.04466666666666667,0.04466666666666667,0.04466666666666667,59,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,14,16.49218712747097,189.63636363636363,,,92.625,102.0,85.0,0.22575757575757577,0.22575757575757577,0.22575757575757577,279,,,,,840000
07:00:00.000+02:00,07:15:00.000+02:00,10,22.90656217714151,164.96363636363637,,,,,,0.0,0.0,0.0,243,,,,120000,480000
07:15:00.000+02:00,07:30:00.000+02:00,13,48.1296749772056,479.2138059482351,1.0,1,89.5,92.0,82.0,0.7092458984950846,1.4820800894234805,0.3252059043604419,681,,,,591874,
07:30:00.000+02:00,07:45:00.000+02:00,,16.49218712747097,,,,77.75,80.0,76.0,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,2,21.706486058473565,85.42447751453116,,,75.875,86.0,71.0,1.146170284004919,1.3701232716470257,0.9222172963628124,125,,,,97549,
08:00:00.000+02:00,08:15:00.000+02:00,14,48.96661194078838,955.1595951023975,7.0,7,91.5909090909091,102.0,79.0,1.280092392380237,1.6329593677122105,0.4149107136712569,1248,,,,801595,
08:15:00.000+02:00,08:30:00.000+02:00,,16.49218712747097,18.75,,,88.5,93.0,84.0,,,,28,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,16.49218712747097,18.75,,,81.9090909090909,88.0,77.0,,,,28,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,1,16.49218712747097,18.75,,,81.42307692307692,91.0,73.0,0.18097859741581462,0.3411238614982959,0.020833333333333332,28,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,1,25.616047651247754,18.75,,,76.75,84.0,72.0,1.2977469745530787,1.2977469745530787,1.2977469745530787,28,,,,170689,
09:15:00.000+02:00,09:30:00.000+02:00,,16.49218712747097,18.75,,,77.05,78.0,74.0,,,,28,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,,20.82953408293277,42.67981534696411,,,83.96428571428571,89.0,74.0,0.3411238795125865,0.34112388433955004,0.3411238746856229,62,,,,81143,
09:45:00.000+02:00,10:00:00.000+02:00,4,32.247228577597156,179.93909240095246,,,80.0909090909091,86.0,72.0,0.8430436117001759,1.3465823949611435,0.3411238655533137,269,,,,294745,
10:00:00.000+02:00,10:15:00.000+02:00,2,16.49218712747097,58.835364952905756,,,79.0,80.0,78.0,0.3448500488133503,0.3485762087859975,0.3411238888407031,86,,,,,
10:15:00.000+02:00,10:30:00.000+02:00,,16.49218712747097,,,,87.0,100.0,72.0,,,,,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,2,25.236209742056435,62.76679483254272,,,72.0,72.0,72.0,0.3578416402020993,0.3745594030384414,0.34112387736575717,92,,,,163583,
10:45:00.000+02:00,11:00:00.000+02:00,,16.49218712747097,,,,75.63636363636364,81.0,71.0,,,,,,,,,
11:00:00.000+02:00,11:15:00.000+02:00,,16.49218712747097,,,,86.625,90.0,80.0,,,,,,,,,
11:15:00.000+02:00,11:30:00.000+02:00,,16.49218712747097,,,,74.75,76.0,71.0,,,,,,,,,
11:30:00.000+02:00,11:45:00.000+02:00,11,42.65433832296842,866.6957195994436,8.0,8,88.36363636363636,98.0,78.0,1.197007853826884,1.5862460758658912,0.34112388806152616,1052,,,,489441,
11:45:00.000+02:00,12:00:00.000+02:00,1,19.886032959328844,64.91082233611574,,,87.71428571428571,99.0,77.0,1.399337222456217,1.4247723770933274,1.3638594963304618,138,,,,63492,
12:00:00.000+02:00,12:15:00.000+02:00,,16.49218712747097,,,,89.5,90.0,89.0,,,,58,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,,16.49218712747097,,,,92.11111111111111,93.0,79.0,,,,58,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,16.49218712747097,,,,89.0,89.0,89.0,,,,58,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,,16.49218712747097,17.73844201789251,,,83.33333333333333,88.0,75.0,0.2956407002982085,0.2956407002982085,0.2956407002982085,58,,,,,
13:00:00.000+02:00,13:15:00.000+02:00,,16.49218712747097,,,,75.1,79.0,72.0,,,,58,,,,,
13:15:00.000+02:00,13:30:00.000+02:00,,16.49218712747097,,,,75.72222222222223,78.0,73.0,,,,58,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,,16.49218712747097,,,,75.5,79.0,74.0,,,,58,,,,,
13:45:00.000+02:00,14:00:00.000+02:00,6,27.308694320604985,213.0817171920408,,,84.5909090909091,96.0,74.0,0.8461367619760491,1.2838670012738358,0.3411239000871076,58,,,,202355,
14:00:00.000+02:00,14:15:00.000+02:00,,16.49218712747097,71.07692307692308,,,77.0,82.0,72.0,,,,43,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,5,32.18853687891052,695.8806742446259,4.0,4,91.0,103.0,79.0,1.0485572280542446,1.4760291220157415,0.39487179487179486,558,,,,293647,
14:30:00.000+02:00,14:45:00.000+02:00,9,46.12007770438337,691.437127941334,5.0,5,86.65384615384616,109.0,75.0,1.1698936720701596,1.5435174929716347,0.36272625386729007,932,,,,554278,
14:45:00.000+02:00,15:00:00.000+02:00,,16.49218712747097,,,,83.54545454545455,91.0,76.0,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,16.49218712747097,,,,81.0,91.0,76.0,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,16.49218712747097,,,,79.88888888888889,84.0,76.0,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.49218712747097,,,,83.5,90.0,76.0,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,3,25.784745715054086,310.3333333333333,3.0,3,83.27777777777777,91.0,79.0,1.3171006853150384,1.5044640074183626,0.3411238793254253,385,,,,173845,
16:15:00.000+02:00,16:30:00.000+02:00,11,57.60571199271383,862.6559323283884,7.0,7,90.58333333333333,100.0,75.0,1.1432508668281698,1.5493889092479447,0.30971040329130023,1095,,,,769151,
16:30:00.000+02:00,16:45:00.000+02:00,3,32.52812475164731,76.07335211531716,,,81.88461538461539,87.0,77.0,0.34112386000869754,0.34112386000869754,0.34112386000869754,121,,,,300000,
16:45:00.000+02:00,17:00:00.000+02:00,2,22.957663365287765,140.24106037520176,,,86.5909090909091,91.0,84.0,1.0669240463674874,1.2548390571746526,0.41570652647390777,237,,,,120956,
17:00:00.000+02:00,17:15:00.000+02:00,,16.49218712747097,,,,78.92857142857143,84.0,78.0,,,,57,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,16.49218712747097,,,,81.70833333333333,90.0,78.0,,,,57,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,16.49218712747097,0.0,,,82.28571428571429,92.0,71.0,0.0,0.0,0.0,15,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,7,40.301010545658656,258.6931991733524,,,89.0,89.0,89.0,0.9778281852374685,1.448605844009986,0.3411238622942645,379,,,,445415,
18:00:00.000+02:00,18:15:00.000+02:00,,16.49218712747097,14.578512396694215,,,79.83333333333333,84.0,73.0,,,,22,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,16.49218712747097,18.22314049586777,,,79.07142857142857,84.0,74.0,,,,27,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.49218712747097,18.22314049586777,,,85.0,94.0,78.0,,,,27,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,16.49218712747097,18.22314049586777,,,76.0625,80.0,69.0,,,,27,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,16.49218712747097,18.22314049586777,,,75.11111111111111,78.0,69.0,0.02024793388429752,0.02024793388429752,0.02024793388429752,27,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,16.49218712747097,18.22314049586777,,,64.0,68.0,63.0,,,,27,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,16.49218712747097,18.22314049586777,,,65.0,71.0,61.0,,,,27,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,16.49218712747097,18.22314049586777,,,64.08333333333333,77.0,55.0,,,,27,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,38.94249980131785,5.116141300372997,,,88.0,94.0,76.0,,,,157,,,,420000,
20:15:00.000+02:00,20:30:00.000+02:00,,16.49218712747097,1.9247787610619471,,,77.11538461538461,80.0,75.0,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,16.49218712747097,1.9247787610619471,,,80.04545454545455,91.0,72.0,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,16.49218712747097,1.9247787610619471,,,76.66666666666667,78.0,75.0,,,,30,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,16.49218712747097,1.9247787610619471,,,81.0,89.0,73.0,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,16.49218712747097,1.9247787610619471,,,70.25,74.0,64.0,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,16.49218712747097,1.9247787610619471,,,77.22222222222223,82.0,72.0,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,16.49218712747097,1.9247787610619471,,,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,16.49218712747097,1.9247787610619471,,,,,,0.0021386430678466076,0.0021386430678466076,0.0021386430678466076,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.49218712747097,1.9247787610619471,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.49218712747097,1.9247787610619471,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,16.49218712747097,1.9247787610619471,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,16.49218712747097,1.9247787610619471,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,16.49218712747097,1.9247787610619471,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,16.49218712747097,1.9247787610619471,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,16.49218712747097,1.7964601769911503,,,,,,,,,,,,,,
