Дата,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Велосипед (мс),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс),Продолжительность: Прочее (мс)
2023-11-07,11,,428.8549446383436,1.0,1,,,,0.8379792486992269,1.3931348254704503,0.31382299093497124,666,,,,,,,
2023-11-08,150,,7053.386830613542,42.0,41,,,,0.7037358772605665,2.354131673666307,0.25105839951334,10658,,,,,,,
2023-11-09,139,,7168.770926083938,51.0,51,,,,0.5799395098013568,1.6745459103732225,0.2440303261210537,10776,,,,,,,
2023-11-10,,,,,,,,,,,,78,,,,,,,
2023-11-16,,231.07197886903867,,,,,,,,,,,68.0,68.0,68.0,,,,
2023-11-17,162,1997.2299260075238,7090.898700101481,11.0,10,,,,0.4413976170948104,2.798127752885104,0.2501575156369456,10688,,,,,7162805,252092,
2023-11-18,290,2151.368812776335,13324.492419775022,24.0,24,,,,0.729386005525198,1.744089646910479,0.2501575156369456,19773,,,,,10627860,,
2023-11-19,5,1608.5874940271678,309.72186513714155,2.0,2,,,,0.8174299376592098,1.5415001969135502,0.30701149646352416,571,,,,,474014,,
2023-11-20,109,1917.7438006254897,6164.748589573518,38.0,38,,,,0.6251936076688668,1.828137446655947,0.2578762722796941,8599,,,,,6257705,,
2023-11-21,123,2089.7393161016153,11364.887966558246,113.0,69,,,,0.8880078167665071,3.1227318516499767,0.2501575156369456,13582,,,,,6796581,440929,
2023-11-22,124,2041.1804905799595,11443.658817813824,115.0,70,,,,0.7312338735572385,3.141480535647183,0.2501575156369456,13619,,,,,6057923,300058,
2023-11-23,101,1891.5448688394333,6287.582648335397,45.0,40,,,,0.683618784172067,1.8952275582633957,0.2572578317944731,8543,,,,,5767575,,
2023-11-24,175,2012.6247811717758,7681.5290689144595,22.0,22,,,,0.7079648825299669,1.6223810316798082,0.2501575156369456,11702,,,,450820,7549042,,
2023-11-25,211,2421.303577951741,9959.834904630321,23.0,23,,,,0.5070932117191785,1.837662935552227,0.2471912200447228,14586,,,,,15678292,,
2023-11-26,68,1895.407361390108,8120.529435294097,96.0,53,,,,0.6821733241270416,3.1171279725278924,0.2615283118022613,9134,,,,,3913113,180141,
2023-11-27,69,1801.6951758672699,4399.937885675487,27.0,26,,,,0.5090065126635467,2.0411399481910943,0.2615283118022613,6008,,,,,4086667,,
2023-11-28,108,2041.511323555195,10577.052333079413,110.0,66,,,,0.8991273288111554,3.121981471959613,0.2501575156369456,12309,,,,,5643813,510050,
2023-11-29,44,1727.886050185346,2648.545602644116,19.0,19,,,,0.5647516707880142,1.5510988525999698,0.27289910796757705,3735,,,,,2705849,,
2023-11-30,169,2208.978729366504,13366.303647962524,121.0,75,,,,0.6674604624251188,2.9152922845906106,0.2501575156369456,16480,,,,,9403774,300059,
