calories,distance,duration,start_time,end_time,steps,avg_pace
524,7076,2411,1681628708,1681631120,5682,5.68
566,7113,2432,1681662114,1681664547,5829,5.7
510,7001,3648,1681740651,1681743125,5476,8.68
286,4033,1299,1681886924,1681888286,3224,5.37
500,6915,2294,1681918069,1681920395,5809,5.53
526,7159,2339,1681972774,1681975114,5937,5.45
496,6504,2172,1682006606,1682009070,5482,5.57
521,7139,2321,1682058842,1682061188,5980,5.42
533,7148,2375,1682144114,1682146492,5991,5.54
560,7097,2252,1682230016,1682232276,5636,5.29
267,3628,1204,1682255738,1682257083,3053,5.53
487,6332,2239,1682317672,1682319911,5652,5.89
511,7186,2308,1682360466,1682362773,6119,5.35
542,7146,2386,1682489018,1682491404,6344,5.56
538,7169,2372,1682529444,1682531851,6085,5.51
423,7181,2678,1682620871,1682623550,6847,6.22
523,6900,2446,1682861832,1682864568,6374,5.91
402,4828,1754,1682877300,1682879054,4567,6.05
577,7200,3549,1683114606,1683118336,7148,8.22
582,7159,2427,1683626279,1683628731,6155,5.65
515,7168,2367,1683829770,1683832140,6248,5.5
528,7158,2252,1683968673,1683970925,5965,5.24
521,7141,2196,1684049934,1684052130,5912,5.13
516,7148,2172,1684081879,1684084050,5775,5.06
516,7130,2182,1684157910,1684160096,5854,5.1
266,3824,1222,1684174850,1684176072,3171,5.33
516,7133,2134,1684264555,1684266689,5666,4.99
320,4435,1423,1684304624,1684306047,3795,5.35
494,7164,2129,1684345996,1684348125,5618,4.95
495,7162,2164,1684564014,1684566178,5892,5.04
674,10023,2951,1684689925,1684692876,8101,4.91
669,9031,3032,1684742972,1684746044,7907,5.6
681,10016,2994,1684781179,1684784174,8330,4.98
222,3255,1026,1684868418,1684869444,2779,5.25
672,10021,2898,1684949734,1684952632,8213,4.82
576,8407,2740,1685038724,1685041959,7144,5.43
706,9939,3507,1685256239,1685259990,9183,5.88
715,10024,3038,1685297386,1685300584,8489,5.05
730,10014,3425,1685352555,1685355980,8932,5.7
691,10022,2973,1685553652,1685556633,7719,4.94
672,10014,3000,1685644865,1685647882,7950,4.99
760,10222,3162,1685905199,1685908585,8218,5.16
683,10017,2964,1686049854,1686052818,7674,4.93
693,10019,2839,1686162644,1686165482,7463,4.72
692,10022,2881,1686247676,1686250558,7553,4.79
810,10014,3678,1687114146,1687117825,8446,6.12
808,10011,3519,1687255775,1687259294,8355,5.86
671,8809,2763,1687359985,1687363080,6874,5.23
799,10006,2979,1687455214,1687458193,0,4.96
738,10016,2913,1687708943,1687711857,7517,4.85
718,10020,3020,1687800488,1687803508,7699,5.02
705,10014,2949,1687968195,1687971144,7655,4.91
801,10011,2974,1688230603,1688233577,0,4.95
805,10012,3154,1688323361,1688326516,0,5.25
800,10012,2837,1688494844,1688497682,0,4.72
295,3938,1231,1688650003,1688652052,0,5.21
800,10016,2863,1688841917,1688844781,0,4.76
505,6663,2174,1689274925,1689277423,5526,5.44
696,10015,2924,1689533844,1689536768,7783,4.87
671,10014,2864,1689621403,1689624279,7746,4.77
330,4034,2557,1690045351,1690048206,5337,10.56
727,10020,3166,1690654198,1690657365,8302,5.27
712,10013,3066,1690741804,1690744870,8063,5.1
737,10014,2896,1690914159,1690917055,7463,4.82
678,10010,2807,1691079023,1691081830,7301,4.67
597,8406,2589,1691342207,1691344796,6608,5.13
