datetime,temp,feelslike,humidity,precip,preciptype,snow,windgust,windspeed,sealevelpressure,cloudcover
2023-04-15T00:00:00,10.5,10.5,73.81,0,,0,36,26.3,1008.2,55.3
2023-04-15T01:00:00,10.5,10.5,74.46,0,,0,50.4,24.6,1008.2,56
2023-04-15T02:00:00,10,7,76.93,0,,0,50.4,24,1008.2,86.9
2023-04-15T03:00:00,9.6,6.7,84.28,0,,0,46.8,22.1,1008.2,93.3
2023-04-15T04:00:00,8.8,6.1,93.59,0,,0,46.8,18.4,1008.2,93.5
2023-04-15T05:00:00,8.8,5.7,93.87,0,,0,34.2,21.8,1008.1,93.5
2023-04-15T06:00:00,8.5,5.2,93.71,0,,0,34.6,23.3,1008.1,92.3
2023-04-15T07:00:00,9,5.9,93.33,0,,0,33.1,22,1008.2,93.5
2023-04-15T08:00:00,8.6,5.6,94.09,0.966,rain,0,31.7,19.8,1008.2,92.3
2023-04-15T09:00:00,9,6.1,91.79,0,,0,32,20.4,1008.3,92.3
2023-04-15T10:00:00,9,6.1,91.79,0,,0,32.4,20.6,1008.7,92.3
2023-04-15T11:00:00,9.2,6.3,91.62,0,,0,32.4,20.5,1008.7,92.3
2023-04-15T12:00:00,9.5,6.6,94.13,0,,0,33.5,21.6,1008.8,92.3
2023-04-15T13:00:00,10,10,91.73,0,,0,33.8,22.2,1009.1,92.7
2023-04-15T14:00:00,10.4,10.4,87.95,0,,0,25.6,11.1,1009.2,92.7
2023-04-15T15:00:00,10.7,10.7,87.46,0,,0,24.8,13.1,1009.3,89.8
2023-04-15T16:00:00,10.6,10.6,82.93,0,,0,25.9,22.1,1010.1,89.4
2023-04-15T17:00:00,11,11,82.49,0,,0,46.8,19.1,1010.2,89.8
2023-04-15T18:00:00,10.8,10.8,76.55,0,,0,31,24.5,1010.7,46.6
2023-04-15T19:00:00,10.4,10.4,78.55,0,,0,43.2,24,1011.3,58.4
2023-04-15T20:00:00,9.8,7.1,81.07,0,,0,27,21.5,1012.2,89.4
2023-04-15T21:00:00,9.5,6.5,82.46,0,,0,26.6,22.1,1013.1,74.6
2023-04-15T22:00:00,8.9,5.8,86.78,0,,0,24.8,22.7,1013.5,89.1
2023-04-15T23:00:00,8.7,6.1,84.35,0,,0,23,17.4,1013.6,89.1
2023-04-16T00:00:00,8.6,6.1,85.62,0,,0,18,15.6,1014.2,89.1
2023-04-16T01:00:00,8,5.2,89.34,0,,0,18,17.1,1014.5,89.1
2023-04-16T02:00:00,7.9,5.8,92.71,0,,0,18.4,12.3,1014.5,89.1
2023-04-16T03:00:00,7.8,5.4,93.27,0,,0,14.4,13.8,1014.6,89.1
2023-04-16T04:00:00,7.7,5.6,90.4,0,,0,14.4,12.2,1015.1,93.5
2023-04-16T05:00:00,7.7,5.1,94.1,0,,0,18.4,14.6,1015.4,93.5
2023-04-16T06:00:00,7.7,5,94.1,0,,0,18,15.3,1015.5,93.5
2023-04-16T07:00:00,7.9,5.9,91.17,0,,0,14.4,11.6,1016.2,89.4
2023-04-16T08:00:00,8,5.4,88,4.056,rain,0,20.5,15.3,1016.4,89.1
2023-04-16T09:00:00,8.5,6.9,84.62,0,,0,22,9.9,1016.7,89.4
2023-04-16T10:00:00,8.5,6.8,83,0,,0,22,10.4,1017.2,89.4
2023-04-16T11:00:00,9.6,8.2,77.64,0,,0,20.9,10.1,1017.7,89.4
2023-04-16T12:00:00,10.5,10.5,73.17,0,,0,22.7,6.2,1018.1,89.3
2023-04-16T13:00:00,11,11,70.49,0,,0,24.5,9.7,1018.2,89.4
2023-04-16T14:00:00,11.6,11.6,68.04,0,,0,19.4,4.9,1018.2,86.4
2023-04-16T15:00:00,13.7,13.7,60.64,0,,0,19.8,5.5,1018.1,67.8
2023-04-16T16:00:00,13.9,13.9,57.88,0,,0,16.9,6.4,1018.2,65.2
2023-04-16T17:00:00,13.6,13.6,59.77,0,,0,15.1,11.1,1018.2,51.6
2023-04-16T18:00:00,13.3,13.3,63.09,0,,0,13.3,16.3,1018.3,36.9
2023-04-16T19:00:00,12.3,12.3,67.09,0,,0,13.3,16.6,1019.1,37.4
2023-04-16T20:00:00,10.8,10.8,73.58,0,,0,14.4,17.2,1019.7,50
2023-04-16T21:00:00,9.7,7.9,78.74,0,,0,14.8,12.4,1020.1,85.9
2023-04-16T22:00:00,9.5,7,83.64,0,,0,14.8,18,1020.2,57.6
2023-04-16T23:00:00,9.4,7.2,83.93,0,,0,14,15.3,1020.2,58.7
2023-04-17T00:00:00,8.7,6.6,88.07,0,,0,14.4,13,1020.3,85.7
2023-04-17T01:00:00,8.4,6.6,89.38,0,,0,14,10.8,1020.3,85.8
2023-04-17T02:00:00,7.7,6.4,93.54,0,,0,11.5,7.5,1020.2,81.7
