name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Warszaw,2023-04-01,10.3,7,9,10.3,3.9,7.3,7.7,91.7,4.636,100,4.17,rain,0,0,29.2,19.9,295.7,998.3,84,12.3,68.6,5.8,3,10,2023-04-01T06:11:31,2023-04-01T19:09:26,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-02,6.8,2.1,4.4,4,-2.1,0.9,2.5,87.6,0.579,100,4.17,rain,0,0,37.8,20.6,347.5,1012.5,92.2,14.8,26.7,2.3,1,10,2023-04-02T06:09:12,2023-04-02T19:11:10,0.38,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-03,5,-1.4,2.4,0.7,-6.9,-2.5,-6.7,52,4.829,100,4.17,"rain,snow",0,0,50.4,29.8,357.4,1023.9,63.6,19.4,173.3,14.8,6,10,2023-04-03T06:06:53,2023-04-03T19:12:54,0.41,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain or snow.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-04,3,-3.3,0.7,-0.3,-6.8,-3.3,-6,62,0,0,0,snow,0,0,32.4,22.5,317.4,1023.5,63.8,18.4,117.7,9.9,5,10,2023-04-04T06:04:35,2023-04-04T19:14:38,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-05,3.2,-4.7,0,3.2,-5.3,-1.4,-5.8,67.1,0,0,0,,0,0,15.1,11.4,329.5,1022.2,71.9,14.6,83.6,7.4,4,10,2023-04-05T06:02:17,2023-04-05T19:16:21,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-06,3.2,0.4,2.2,-0.7,-3.8,-1.8,-2.6,71.7,0,0,0,"rain,snow",1.2,0.4,43.2,28.9,347.5,1019.5,85.1,15.2,63.3,5.3,3,10,2023-04-06T05:59:59,2023-04-06T19:18:05,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-07,11.9,3.6,7.8,11.9,-0.2,5.6,5.7,87.1,8.113,100,4.17,rain,0,0.1,39.6,24.2,62.3,1016,88.3,11.5,52,4.5,2,10,2023-04-07T05:57:42,2023-04-07T19:19:49,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-08,13.9,2.5,8.4,13.9,0.1,7.1,1.8,65.8,0.676,100,4.17,rain,0,0,28.8,19.6,66.6,1023.4,64.7,16.6,182.7,15.8,6,10,2023-04-08T05:55:25,2023-04-08T19:21:32,0.58,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-09,14.4,6.2,10.3,14.4,5.8,10.1,6.7,79.7,0.386,100,4.17,rain,0,0,17.6,11.1,349.3,1023.6,71.1,15,83.7,7.3,6,10,2023-04-09T05:53:09,2023-04-09T19:23:16,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-10,16.7,5.3,11.1,16.7,3.4,10.9,6.1,74,0,0,0,rain,0,0,22.7,16.6,10.2,1023.2,29.3,14.5,157,13.6,8,10,2023-04-10T05:50:53,2023-04-10T19:25:00,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-11,15.6,4.8,10.8,15.6,3.3,10.3,4.7,69.2,0,0,0,rain,0,0,46.8,24.6,134.4,1013.4,34.2,14.2,171.6,14.8,6,10,2023-04-11T05:48:37,2023-04-11T19:26:43,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-12,13.1,6.9,9.2,13.1,4.2,8.3,5.5,78.7,0,0,0,,0,0,20.9,16.1,266.6,1008.3,73,12.8,110,9.6,7,10,2023-04-12T05:46:23,2023-04-12T19:28:27,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-13,16.9,2.1,10.4,16.9,2.1,10.4,2.8,65,0,0,0,,0,0,20.5,14.5,109.6,1006,33.7,13.2,217.8,18.9,6,10,2023-04-13T05:44:09,2023-04-13T19:30:11,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-14,16.5,7,11.5,16.5,4.8,10.7,6.7,74.4,0,0,0,rain,0,0,50.4,29.9,80.7,1008,53.2,15.4,202.7,17.5,8,10,2023-04-14T05:41:55,2023-04-14T19:31:54,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-15,11,8.5,9.7,11,5.2,7.8,7.4,86.2,0.966,100,4.17,rain,0,0,50.4,26.3,87.6,1009.6,84.5,14.7,47.7,4.1,2,10,2023-04-15T05:39:42,2023-04-15T19:33:38,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-16,13.9,7.7,9.9,13.9,5,8.5,6.3,79.3,4.056,100,4.17,rain,0,0,24.5,18,57.6,1017.3,77.5,17.2,97.9,8.3,4,10,2023-04-16T05:37:30,2023-04-16T19:35:21,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-17,14,7.4,10.6,14,6,9.8,6.7,77.9,0,0,0,rain,0,0,32,22.7,51.6,1021.9,77.8,14,111,9.5,5,10,2023-04-17T05:35:19,2023-04-17T19:37:05,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-04-18,15.4,8,11.7,15.4,5.2,10.7,6.1,70.8,0.193,100,4.17,rain,0,0,32.8,21,32.7,1023.6,84.3,14.4,127.1,11.1,4,10,2023-04-18T05:33:08,2023-04-18T19:38:49,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
